mission,label,reason
"Providing secondary education for a diverse population of local, national, and international high school students. Performing plant improvements and maintenance of facilities. Providing meals and extra-curricular activities for students. The Fryeburg Academy supports many auxiliary programs which contribute to its students' education and quality of life, and which further the Academy's exempt mission. These programs include student-sporting events, performing arts, fitness programs, health centers, the campus store, student housing services, and IT support.",0,The summary focuses on providing education and support services without any mention of religious or faith-based concepts.
"Good Will Home Association provides residential, educational and clinical services to youths ages 11-21. L.C. Bates Museum - The Museum offers educational natural history and cultural programs and exhibits. The Moody Chapel is rented for weddings and is periodically utilized for community musical events.",0,"The summary focuses on residential, educational, and clinical services, as well as a museum and community events, without emphasizing religious or faith-based motivations."
"Taught and educated one student at a time through strong student-faculty relationships that reflect a deep knowledge of each student as an individual and that foster sound work habits, a strong sense of self confidence, teamwork, and leadership skills, and principled decision-making.Ensured that every Gould student benefited from education of the whole person through rich and challenging, yet supportive, academic, co-curricular, and community life programs that promote development across all domains of personal growth.Helped students explore the whole world through academic engagement with major global themes, immersion in diverse cultures, meaningful experience in the natural world, and direct involvement in initiatives that promote ecosystem and energy sustainability.",0,The summary focuses on education and personal development without any mention of religious or faith-based concepts.
"Home for the Aged provides high quality housing, meals, civic, cultural and recreational activities and emergency response service to the residents of its fifty-four independent living apartments. Some of the apartments are offered at rates that are below-market rates, making them accessible to those whose resources are modest, yet not such that the individuals are eligible for federal assistance. These apartments are specially designed to optimally meet the needs of those who are aging in place. Home for the Aged provides high quality housing, meals, personal care services, assistance with medications and civic, cultural and recreational activities to the residents of its thirty-six state-licensed assisted living studios. Some of the apartments are offered to low and very low income residents, subsidized by the State of Maine's MaineCare program. Home for the Aged operates the MaineCare supported studios at below-cost, and operating subsidies (to offset losses) are provided by the Home's endowment. Estimated operating subsidies in the current year were $440,358. Home for the Aged provides high quality, dignified, safe and affordable housing (70 independent living apartments) to those whose means are defined as """"very low income or """"extremely low income"""" in accordance with federal eligibility guidelines for the HUD Section 8 program.In providing Section 8 housing, Home for the Aged, in partnership with the U.S. Department of HUD, provides housing to those who would otherwise be at financial risk due to the high cost of housing and utilities. These apartments are specially designed to optimally meet the needs of those who are aging in place. As these residents age, by virtue of their residency, they are given priority for transfers to the assisted living program at such time as a higher level of care is needed. Home for the Aged provides certain services (including meals, civic, cultural and recreational activities and emergency response services) to the residents at the 777 Stevens Avenue, Portland, Maine site. Home fore the Aged operates 70 federally-assisted apartments offered to people 62 years of age and older who are eligible to occupy them (meeting the federal definition of very-low or extremely-low income). Home for the Aged provides the meal program at below-cost, and the other services at no charge. The operating subsidies ($422,300) for the provision of these services to the residents of Home for the Aged are provided with the financial underwriting by the Home's endowment.",0,The summary focuses on providing housing and services for the aged without any mention of religious or faith-based concepts.
"DEVELOP AND PROVIDE GENETIC RESOURCESTHE JACKSON LABORATORY (JAX) IS A GLOBAL RESOURCE FOR DEVELOPING, DISTRIBUTING AND ANALYZING INNOVATIVE MODELS OF HUMAN DISEASE. IT OFFERS AN ARRAY OF MODEL CREATION, HUSBANDRY AND DIAGNOSTIC AND ANALYTICAL SERVICES, RANGING FROM CUSTOM BREEDING AND STRAIN PRESERVATION TO DRUG EFFICACY STUDIES AND GENOME SEQUENCING, ALL FOCUSED ON EMPOWERING BASIC SCIENTIFIC RESEARCH AND DRUG DISCOVERY.JAX MAINTAINS CLOSE TO 13,000 GENETICALLY DISTINCT STRAINS OF RESEARCH MICE. IN 2021, DISTRIBUTED THEM TO RESEARCHERS FROM MORE THAN 2,000 ORGANIZATIONS, IN UPWARDS OF 64 COUNTRIES USED JAX RESEARCH MICE TO SUPPORT EFFORTS TO FIND CURES FOR THE WORLD'S MOST DEVASTATING HUMAN DISEASES AND BRING ADVANCED THERAPIES TO PATIENTS. THE LABORATORY ALSO HOSTS THE MOUSE GENOME INFORMATICS DATABASES, THE WORLD'S SOURCE FOR INFORMATION ON MOUSE GENETICS AND BIOLOGY.IN 2021, 600 MOUSE STRAINS WERE DONATED TO THE LABORATORY OR DEVELOPED BY JAX RESEARCH STAFF WITH ACADEMIC/FOUNDATION OR PUBLICLY FUNDED RESEARCH PROGRAMS. THE LABORATORY MAKES THESE RESOURCES PUBLICLY ACCESSIBLE THROUGH ITS REPOSITORY, PRODUCTION AND RESEARCH SERVICES. DISTRIBUTION OF THESE STRAINS HELPS SUPPORT CURES FOR THE WORLD'S MOST PREVALENT HUMAN DISEASES AND ACCELERATES THE TIME TO BRING NEW THERAPIES TO PATIENTS. THE LABORATORY COLLABORATED WITH OTHER NON-PROFIT PATIENT FOUNDATIONS FOR RARE DISEASES TO ESTABLISH MOUSE RESOURCES TO FURTHER PRECLINICAL THERAPEUTIC STUDIES.THE LABORATORY MAKES THE JAX CLINICAL KNOWLEDGEBASE (CKB) RESOURCE PUBLICLY AVAILABLE, ENABLING CLINICIANS, AND TRANSLATIONAL RESEARCHERS TO INTERPRET COMPLEX CANCER GENOMIC PROFILES. ACCEPTANCE AND USAGE OF CKB HAS BEEN STEADILY INCREASING; CKB HAS RECEIVED OVER 750,000 VISITS SINCE ITS LAUNCH IN 2016. THE PUBLIC SITE HAD OVER 2,500,000 PAGE VIEWS IN THAT PERIOD. BIOMEDICAL RESEARCHTHE LABORATORY'S RESEARCHERS COMBINE EXPERIENCE IN MAMMALIAN GENETICS AND HUMAN GENOMICS TO SHAPE AN INTEGRATED APPROACH TO PERSONALIZED MEDICINE. SCIENTISTS WORK COLLABORATIVELY AND CROSS-DISCIPLINE, LEVERAGING EXPERTISE IN CANCER, IMMUNOLOGY, NEUROGENETICS, LIFE-CYCLE BIOLOGY, THE MICROBIOME, AND COMPUTATIONAL BIOLOGY.MORE THAN 400 JAX STAFF MEMBERS HOLD ADVANCED DEGREES AND THE LABORATORY SUPPORTS MORE THAN 65 RESEARCH TEAMS. FACULTY MEMBERS HAVE 324 ACTIVE SPONSORED RESEARCH COLLABORATION AGREEMENTS WITH 245 ACADEMIC RESEARCH AND CLINICAL INSTITUTIONS. MULTIPLE LABORATORY CENTERS COORDINATE EXPERTISE AROUND CRITICAL RESEARCH AREAS. SINCE 1983 THE LABORATORY HAS HAD A NATIONAL CANCER INSTITUTE-DESIGNATED CANCER CENTER, ONE OF ONLY SEVEN SUCH DESIGNATED INSTITUTIONS IN THE UNITED STATES. TO DATE 26 NOBEL PRIZES ARE ASSOCIATED WITH LABORATORY RESEARCH, EDUCATION PROGRAMS AND RESOURCES. EDUCATION AND TRAININGTHE LABORATORY OFFERS EDUCATIONAL PROGRAMS FOR SCIENTISTS THROUGHOUT THEIR CAREERS FROM STEM EDUCATION FOR HIGH SCHOOL STUDENTS AND TRAINING FOR SCIENCE AND MATH TEACHERS TO COURSES AND CONFERENCES FOR EXPERIENCED RESEARCHERS DEFINING THE CUTTING EDGE OF GENOMICS INTO THEIR PRACTICES.FOR MORE INFORMATION ON THE LABORATORY'S PROGRAM SERVICES, PLEASE REFER TO THE JACKSON LABORATORY 2021 ANNUAL REPORT AT HTTPS://WWW.JAX.ORG/ABOUT-US/LEGAL-INFORMATION/FINANCIALS INTERCOMPANY REVENUE/OTHER REVENUE",0,"The summary focuses on scientific research, genetic resources, and biomedical advancements without any mention of religious or faith-based concepts."
IN SUPPORT OF LOCAL SYNAGOGUES AND EDUCATIONAL AND COMMUNITY PROGRAMS,1,"The summary mentions support for local synagogues, which indicates a religious context."
"PROVISION OF LONG-TERM CARE FOR THE SICK AND ELDERLY. OPERATIONS INCLUDE 63 NURSING HOME BEDS AND 39 REHABILITATION CARE BEDS. AT THE CEDARS RETIREMENT COMMUNITY IN PORTLAND, MAINE, THE SAM L. COHEN REHABILITATION CENTER PROVIDES STATE-OF-THE-ART HEALING AFTER HOSPITALIZATION. SENIORS RECEIVE PERSONALIZED TREATMENT PLANS AND EXPERT GUIDANCE FROM THE CEDARS EXPERIENCED AND CARING MEDICAL AND THERAPEUTIC STAFF. THE CEDARS IS THE REHABILITATION CENTER OF CHOICE IN PORTLAND, MAINE. THE AWARD-WINNING SKILLED CARE CENTER AT THE CEDARS IN PORTLAND, MAINE, HAS PROVIDED THE VERY BEST SKILLED NURSING CARE FOR SENIORS FOR ALMOST 90 YEARS.",0,The summary focuses on healthcare services for the sick and elderly without any mention of religious or faith-based concepts.
"OPERATION AND MAINTENANCE OF HISTORICAL RESEARCH LIBRARY5,178 ON-SITE VISITORSTHE MAINE HISTORICAL SOCIETY WEB SITE IS PART OF ALL MAJOR PROGRAMS.547,782 UNIQUE WEB SITE VISITORS FOR YEAR OVER ALL PROGRAMS. OPERATION AND MAINTENANCE OF THE WADSWORTH LONGFELLOW HOUSE (A HISTORIC STRUCTURE) AND MUSEUM11,487 ON-SITE VISITORS PROGRAMS AND EDUCATION3,680 ON-SITE VISITORS REMAINING PROGRAM SERVICES INCLUDE MUSEUM GIFT SHOP, MEMBERSHIP DEVELOPMENT, AND DIGITAL SERVICES.",0,"The summary focuses on the operation and maintenance of a historical research library and museum, which are secular activities without any mention of religious or faith-based concepts."
SCHOLARSHIPS AND OTHER FINANCIAL AID BASED ON NEED AND MERIT BASED. PRIVATE SECONDARY SCHOOL UTILIZED BY APPROXIMATELY 220 BOARDING AND DAY STUDENTS.,0,"The summary focuses on scholarships and financial aid for a private secondary school, which are secular activities and do not mention any religious or faith-based concepts."
"PUBLIC LIBRARY SERVING THE RESIDENTS OF BIDDEFORD, MAINE, AND SURROUNDING COMMUNITIES. THERE ARE 9,751 ACTIVE LIBRARY CARD HOLDERS.",0,The summary focuses on the operation of a public library and does not mention any religious or faith-based concepts.
"Provide access to healthcare for all people through direct patient care at Mercy's various hospital, clinical and physician locations. In providing these services, the organization absorbs significant costs that are not reimbursed through Medicare, Medicaid or other programs. In addition, as part of our mission, we maintain a charity care program with income eligibility thresholds that exceed the State of Maine income eligibility guidelines for free care (the Federal regulations do not mandate a particular eligibility requirement). The Company also provides and sponsors a number of socially responsible activities and events that have a positive impact on the lives of the residents of the Greater Portland Community.",0,The summary focuses on providing healthcare services and community support without any mention of religious or faith-based concepts.
"The Academy operates a private day school in Yarmouth, Maine with approximately 300 students from toddler through twelfth grade.The North Yarmouth Academy program encourages students to develop:1. Problem-solving skills based on sound analytical and creative thought2. Sophistication in writing, speaking and artistic expression3. Appreciation for the importance of athletic activity, teamwork and cooperation4. Self-confidence and self-respect through a breadth of experiences that extend beyond the classroom5. Concern for the larger community and an appreciation for the natural environment6. Desire to continue the process of lifelong learning",0,The summary focuses on educational activities and skills development without any mention of religious or faith-based concepts.
Operating a summer camp.,0,The summary focuses on a secular activity (summer camp) without any religious or faith-based motivation.
THE LIBRARY PROVIDES A FULL RANGE OF LIBRARY SERVICES FREE TO THE PUBLIC OF THE FIVE COMMUNITIES SERVED.,0,"The summary focuses on providing library services, which is a secular activity and does not mention any religious or faith-based concepts."
"Catherine Morrill Day Nursery provides child care and early education for approximately 85 children in the Greater Portland area. Children are provided with developmentally appropriate activities, as well as two meals and one snack per day. The nursery also provided support and parenting education for families. Catherine Morrill Day Nursery has a collaborative agreement with Portland Public Schools to provide public pre-kindergarten services at the Early Childhood Occupations Classroom at Portland Arts and Technology High School.",0,The summary focuses on child care and early education services without any mention of religious or faith-based concepts.
"CORE PROGRAMS, INCLUDING CHARACTER & LEADERSHIP DEVELOPMENT, EDUCATION & CAREER DEVELOPMENT, THE ARTS, HEALTH & LIFE SKILLS, SPORTS, FITNESS & RECREATION, PROVIDED TO OVER 2,000 BOYS AND GIRLS IN SOUTHERN MAINE.",0,"The summary focuses on secular activities such as education, arts, health, and sports without any mention of religious or faith-based concepts."
"CHANS Home Health & Hospice is full service non-profit, JointCommission Accredited agency providing skilled home health, hospice,private duty care services and an array of community based wellness clinics and support services in Mid Coast Maine. Part of Mid Coast Parkview Health, CHANS has been providing home health and wellness services in the community since 1947. Mid Coast Parkview Health merged on 1/1/2021 and is part of the MaineHealth System.",0,The summary focuses on healthcare and wellness services without any mention of religious or faith-based concepts.
"REDINGTON MEMORIAL HOSPITAL ASSOCIATIONS'S SOLE MISSION IS TO SUPPORT AND BENEFIT REDINGTON FAIRVIEW GENERAL HOSPITAL,A 501(C)(3)ORGANIZATION. ACCORDINGLY,THE CORPORATION DONATED 633,685 TO THE HOSPITAL'S CHARITABLE PURPOSES.",0,"The summary focuses on supporting a hospital and its charitable purposes, which are secular activities related to healthcare."
"The Medical Center provides a vast array of medical care and community health services, which includes, but is not limited to, the following programs and facilities: physician services; orthopedics; chemical dependency services; OB/GYN women's health services; nursery and youth services; ICU; PACU; infusion therapy; urgent care; family practice services; endoscopy; neurology; lab services; diagnostic radiology; MRI; mammography; ultrasound; nuclear medicine; CT scans; physical therapy; occupational therapy; speech therapy; respiratory therapy; pulmonary rehabilitation; diagnostic cardiology; cath labs; pharmacy; ambulance services; physiatrist services; urology; sleep lab; diabetes center services; wound and hyperbaric center services; gastroenterology; rheumatology; weight management services; and skilled nursing facilities and nursing home services. Surgical Care: The Medical Center provides all surgical services and related care (except open heart procedures) to patients who need surgical intervention. Patients range from infants to geriatrics. Total Patient days = 12,910 Emergency Care: St. Mary's Regional Medical Center offers a 24-hour per day Level II Emergency Care facility. Services provided include both medical and behavioral care services. Total patient days = 777Total patient visits:- Emergency Department = 21,760- Emergency Psychological Services = 4,636- Emergency Urgent Care = 23,428 Behavioral Health: St. Mary's Regional Medical Center offers the most advanced behavioral healthcare diagnostic and treatment services available to children, adolescents and adults in both inpatient and outpatient programs. Inpatient and outpatient treatments include comprehensive psychiatric assessments and evaluations, education, individual and group therapy, individualized bio-psychosocial treatment plans, and discharge and aftercare planning.Total patient days = 13,975",0,The summary focuses on medical care and community health services without any mention of religious or faith-based concepts.
"ST. MARY'S D'YOUVILLE PAVILION IS THE FLAGSHIP COMPONENT OF THE ELDER CARE SERVICES OFFERED THROUGH ST MARY'S HEALTH SYSTEM. THE PAVILION OFFERS A STATE-OF-THE-ART TRANSITIONAL REHAB UNIT, SPECIALIZED DEMENTIA CARE UNIT, SKILLED AND LONG-TERM CARE TRADITIONAL NURSING CARE, AS WELL AS THE MOST ADVANCED TECHNOLOGY AND SKILLED NURSING CARE IN THE REGION. MORE IMPORTANTLY, ITS EMPLOYEES PROVIDE RESPECT, CARE, AND COMPASSION TO EVERY RESIDENT.THE PAVILION OFFERS THREE DISTINCT CARE OPTIONS. AT ITS CORE IS A 42-BED PRIVATE ROOM TRANSITIONAL REHAB UNIT, WHICH PROVIDES REHABILITATION CARE FOR THOSE RECOVERING FROM SURGERY, AND ILLNESS, OR INJURY.THE PAVILION ALSO OFFERS SPECIALIZED DEMENTIA CARE THROUGH ITS MARGUERITE'S GARDEN MEMORY CARE UNIT. THIS 42-BED UNIT PROVIDES ALZHEIMER'S SECURITY WHILE SPECIALIZING IN THE CARE OF PEOPLE SUFFERING FROM DEMENTIA AND RELATED FORMS OF ILLNESS. THE 210-BED NURSING FACILITY OFFERS COMPASSIONATE AND FRIENDLY LONG-TERM CARE TO OUR COMMUNITY'S RESIDENTS. EVERYONE LIVING AT ST MARY'S D'YOUVILLE PAVILION, WHETHER FOR A SHORT TRANSITIONAL STAY OR AS PART OF A LONG-TERM PLAN, MAY TAKE PART IN A BROAD RANGE OF SOCIAL ACTIVITIES AND PERSONAL CARE SERVICES. ST MARY'S D'YOUVILLE PAVILION ENDEAVORS TO INCORPORATE THE EDEN ALTERNATIVE WITH THE REAL WORLD OF DAILY PRACTICE. THE EDEN ALTERNATIVE IS A PHILOSOPHY THAT SUPPORTS CREATING A CULTURE THAT NURTURES THE HUMAN SPIRIT. ST MARY'S D'YOUVILLE PAVILION SPONSORS A SUCCESSFUL AGING SERIES WHICH HELPS ATTENDEES COPE WITH THE PHYSICAL, EMOTIONAL AND SPIRITUAL CHANGES THAT COME WITH AGING.",1,"The summary mentions 'spiritual changes' and emphasizes compassion and care, which are typical of faith-based charities."
"DURING THE ANNUAL COMMUNITY INVESTMENT PROCESS, LOCAL NON-PROFIT AGENCIES APPLY FOR FUNDS BASED ON COMMUNITY OUTCOMES. APPLICANTS ARE CAREFULLY REVIEWED AND REFINED BY THREE VOLUNTEER COMMITTEES, AN OVERSIGHT COMMITTEE, AND THE BOARD OF DIRECTORS PRIOR TO FUNDS BEING APPROVED AND DISTRIBUTED. FUNDS ARE THEN DISTRIBUTED TO PARTNER AGENCIES BASED ON THESE ASSESSEMENTS TO PROVIDE THE GREATEST IMPACT POSSIBLE IN THE COMMUNITY. UNITED WAY OF ANDROSCOGGIN COUNTY (UWAC) PARTICIPATES IN SEVERAL OTHER PROGRAMS TO BENEFIT THE COMMUNITY AS FOLLOWS:*2-1-1: A STATE-WIDE INFORMATION AND REFERRAL SERVICE THAT CONTINUES TO RECEIVE CALLS REGARDING HEATING AND UTILITY ASSITANCE, FOOD, HOUSING AND FINANCIAL SERVICES, ALONG WITH HEALTH AND HUMAN SERVICE INFORMATION. IN 2019, 38,778 CALLS WERE RECEIVED STATE-WIDE AND 3,649 CALLS WERE FROM LOCAL RESIDENTS.*CA$H: THE EARNED INCOME TAX CREDIT BENEFITS PEOPLE WHO WORK. UWAC, TOGETHER WITH PARTNERS IN THE LEWISTON-AUBURN CASH COALITION, WORK TO MARKET THIS PROGRAM TO HELP LOW-TO-MODERATE INCOME WORKERS.*BACKPACK PROJECT: UWAC, IN PARTNERSHIP WITH LOCAL CIVIC CLUBS AND AREA BUSINESSES, PROVIDED OVER 1,000 BACKPACKS THAT WERE FILLED WITH SCHOOL SUPPLIES TO HELP KIDS START OFF THE YEAR WITH THE RIGHT SUPPLIES.*TOUCH-A-TRUCK EVENT: UWAC AND AREA PARTNERS HOST A COMMUNITY EVENT IN WHICH CHILDREN AND FAMILIES HAVE AN OPPORTUNITY TO SEE, TOUCH, AND INTERACT WITH DOZENS OF VEHICLES INCLUDING POLICE CRUISERS, CONSTRUCTION EQUIPMENT, RACE CARS, TRACTOR TRAILERS, AND FIRE TRUCKS. A BOOK SWAP AND OTHER AGE APPROPRIATE LEARNING ACTIVITIES ARE AVAILABLE, TOO.*DAY OF CARING: IN 2019, UWAC ORGANIZED ITS ANNUAL DAY OF CARING WHICH BROUGHT TOGETHER COMMUNITY MEMBERS TO VOLUNTEER AT VARIOIUS PROJECTS. THIS EVENT DREW 284 VOLUNTEERS WHO WORKED ON 36 PROJECTS.*FAMILYWIZE: UWAC IS A PART OF THE FAMILYWIZE COMMUNITY SERVICE PARTNERSHIP TO DISTRIBUTE FREE PRESCRIPTION DISCOUNT CARDS THAT CAN SAVE INDIVIDUALS UP TO 30% ON THEIR PRESCRIPTIONS.*PANTRY PROJECT: THE PANTRY PROJECT BRINGS TOGETHER FOOD COLLECTION EFFORTS OF EMPLOYEES AT LOCAL BUSINESSES TO HELP MEET THE NEEDS OF PEOPLE THAT ARE HUNGRY. UWAC PARTNERS WITH 17 FOOD PANTRIES TO DISTRIBUTE NON-PERISHABLE ITEMS. IN 2019 OVER 4,000 PEOPLE ATTENDED THE EVENT.*BRIDGES OUT OF POVERTY IS A RESOURCE BUILDER MODEL DESIGNED TO WORK ACROSS ALL SECTORS OF A COMMUNITY TO ADDRESS THE ROOT CAUSES OF POVERTY, SUPPORT INDIVIDUALS AS THEY BUILD RESOURCES, AND ACHIEVE A SUSTAINABLE COMMUNITY WHERE EVERYONE CAN LIVE WELL. UWAC COLLABORATES WIHT PARTNERS TO WORK ON POVERTY ISSUES.*VolunteerME: THE UNITED WAYS OF MAINE HAVE A PROGRAM CALLED VolunteerME TO PROMOTE VOLUNTEERISM. IT IS A ONE-STEP RESOURCE FOR VOLUNTEERING INCLUDING AN ONLINE DATABASE THAT WILL MATCH VOLUNTEERS TO MEANINGFUL OPPORTUNITIES IN THEIR COMMUNITY. UNITED WAY OF ANDROSCOGGIN ALSO MANAGES AND STAFFS A MONTHLY VOLUNTEER PEER NETWORKING GROUP TO DISCUSS VOLUNTEER OPPORTUNITIES.",0,"The summary focuses on community services, volunteerism, and assistance programs without any mention of religious or faith-based concepts."
"PRIVATE EARLY CHILDHOOD, ELEMENTARY, MIDDLE AND SECONDARY EDUCATION UTILIZED BY APPROXIMATELY 550 STUDENTS.",0,The summary focuses on educational activities and does not mention any religious or faith-based concepts.
"Early Childhood Education - ECE is one of the staples of the modern YMCA. Although this program is a sizeable portion of our revenue, it concurrently is the largest component of our expenses, too - especially SBT. With all ratio based care, the more participants you can put into a room, the better. With ECE, the ratios of care for """"staff:children"""" are Infant 2:8, Older Infant 2:9, Toddler 2:10, Preschool 2:14, and PreK 2:20. To help offset revenue loss in the Infant through Toddler rooms, our strategy has been to partner with other organizations to provide services at locations other than the YMCA. This strategy has worked successfully at Temple Shalom, a Jewish Synagogue, and we are looking forward to opening a new center in Rumford in 2025. Fitness and Wellness - Fitness and Wellness programming at the YMCA of Auburn-Lewiston is mostly accomplished through membership subscription to the Y's three (3) local fitness centers: Y@Turner Street in Auburn, Y@CMMC in Lewiston, and Y@HCS in Lewiston. While yoga, group exercise, cycling classes and other programs are included in membership benefits, there are also premium programs that are fee-for-service, such as personal training, nutrition counseling, and chronic condition coaching to name a few. With the purchase of the Health Club and Spa, Fitness & Membership also includes aquatics programming, such as free swim, classes, and use of hot tub and sauna. Youth Development - Youth Development has three major components: Before and After School, Y Day & Kids Camp, and Youth Sports. All of these components serve kiddos in the primary age range of 5 to 12 years old, but youth sports, such as swimming and gymnastics, may include youth up to 18 years old. When appropriate, transportation to and from school or camp is provided by the YMCA. The unique part of youth development programming is none of the three components goes year around. This makes them complimentary in a sense yet require extra staffing during programming because of the difficulty of finding staff who have all the required skills, abilities, knowledge, and experience. Due to growth potential and community needs in these areas, we will launch a capital campaign to do major renovations to the Y's Outdoor Learning and Education Center in 2024/2025.",0,"The summary focuses on early childhood education, fitness, and youth development programs without any mention of religious or faith-based activities."
"Healthy Living - This program focuses on bringing families closer together, encourages good health and fosters connections through fitness, sports, fun and shared interests. Our youth, adult and family members are receiving the support, guidance and resources needed to achieve greater health and well-being for their spirit, mind and body. Youth Development: We believe that all kids deserve the opportunity to discover who they are and what they can achieve. That's why, through the Y, millions of youth today are cultivating the values, skills, and relationships that lead to positive behaviors, better health and educational achievement.YMCA Child Care: This program is part of our Youth Development initiative. The Y believes that all kids deserve the opportunity to discover who they are and what they can achieve. That's why the youth participating in our child care program are cultivating the values, skills, and relationships that lead to positive behaviors, better health and educational achievement. In order to minimize the financial barrier to attend the child care programs.YMCA Day Camp: The Y day camps are another part of our Youth Development initiative and have a goal to help children and teens grow physically, mentally, and spiritually while using a natural camp site. The Y believes that all kids deserve the opportunity to discover who they are and what they can achieve. That's why the youth participating in our day camp programs are cultivating the values, skills, and relationships that lead to positive behaviors, better health and educational achievement. The Y works to remove the financial barrier of attending camp for all children. Financial assistance awarded was $72,360. Social Responsibility - The Cumberland County Y has been listening and responding to our communities' most critical social needs for over 150 years. Whether developing skills or emotional well-being through education and training, welcoming and connecting diverse demographic populations through global services, or preventing chronic disease and building healthier communities through collaborations with policymakers, the Y fosters the care and respect all people need and deserve. Through the Y, hundreds of volunteers and donors, leaders and partners across the country are empowering thousands of people in the Cumberland County area to be healthy, confident,connected and secure.",0,"The summary focuses on health, fitness, youth development, and social responsibility without mentioning religious concepts or faith-based motivations."
"HOUSING WITH ASSISTANCE FOR FINDING SUPPORT, WORK, HOUSING & A FOOD BANK, COMPUTER SERVICES TO MEMBERS AND THE PUBLIC - EDUCATIONAL ONES FOR GIRLS, PROGRAMS & ACTIVITIES THAT EDUCATE ABOUT RACISM, FINANCIAL LITERACY, SCHOLARSHIPS TO COLLEGE BOUND SENIORS.",0,"The summary focuses on secular activities such as housing assistance, education, and financial literacy without any mention of religious or faith-based concepts."
"AQUATICS - SWIMMING INSTRUCTION AND COMMUNITY POOL USE CHILD AND YOUTH SERVICES - PRESCHOOL, DAYCARE AND SUMMER CAMP PROGRAMS AVAILABLE TO FAMILIES",0,The summary focuses on secular activities related to swimming instruction and childcare services without any mention of religious or faith-based concepts.
"Operation of a contemporary museum located in the heart of downtown Bar Harbor, Maine focusing on the understanding and appreciation of the State of Maine's Native American heritage, culture, history, and archaeology. The Museum's collections, exhibitions, and programs focus on Native American traditions in Maine and explore the broader Native American experience, past and present. The history and cultures of Maine's Native American people, the Wabanaki, are showcased through changing exhibitions, special events, collection management, teacher workshops, archaeology field schools, and craft workshops for children and adults. Visitors find dynamic and stimulating exhibitions and activities interspersed with spaces for quiet reflection. In addition to the downtown location, from spring through fall, the Abbe's historic trailside museum at Sieur de Mont's Spring continues to offer visitors a step back in time to the early 20th century presentations of Native American archaeology in Maine.Admissions:The Museum had over 25,000 visits combined at our two locations. Visitors come from most of the USA plus many foreign countries.Curatorial Services:The Museum serves as one of the only two federally recognized repositories of archaeological artifacts in the State of Maine. In addition, the Museum houses an extensive collection of historic and contemporary Native American artwork and crafts which, in part, forms the basis for public exhibitions that highlight Native American culture.Education:The Museum provided educational progams to schools throughout Maine both on site and in the classroom. School programs address topics of archaeology, culture differences, trade economies, and stereotyping. The Museum provides a teacher training workshop, workshops and demonstrations for adults and children, and is an essential resource for helping teachers and students comply with new state legislation known as """"the Wabanaki Initiative."""" The Museum also provides educational opportunities for adults and children visiting Acadia National Park.Memberships:The Museum offers several levels of membership. Each level offers certain benefits. Some of the benefits are unlimited free admission, invitations to events, and newsletters. Stitching Ourselves Together ExhibitThis year saw the development of our newest exhibit, Stitching Ourselves Together, a collaboration between Wabanaki community members and the Museum. It is presented from a first-person perspective, with Mi'kmaq artisans and culture keepers sharing their experiences working with quills. Community curator Jennifer Pictou (Mi'kmaq) explains, """"When we, as Mi'kmaq people, are involved in the curation and narration of our own history we are able to correct the incomplete and often erroneous narratives assigned to our existence. Academics have often misidentified the motifs represented in our quill art or applied their own experiences and beliefs to our imagery. This Euro-centric interpretation negates our Indigenous use of symbols, styles, and patterns."""" Stitching Ourselves Together challenges common misconceptions around this traditional art form. The displays include historical and contemporary pieces from skilled Mi'kmaq quillworkers and artist profiles from the """"Quillers of the Dawn"""" group working to revive the art form. Alongside this exhibit we also presented our long running Waponahki Student Art Show, which showcases the works of students from the Houlton Band of Maliseet Indians, Passamaquoddy Tribe at Motahkomikuk (Indian Township) and Sipayik (Pleasant Point), Mi'kmaq Nation, and Penobscot Nation at Panuwapskek (Indian Island). Digital AMIM The importance of creative placemaking and how it supports Wabanaki artists, and the local community, led us to create The Abbe Museum Indian Market in 2018. Over 50 Tribal artisans from across North America, representing over 30 Indigenous Nations, attended in its inaugural year. At the onset of COVID, the Museum was ready to host over 75 artists on the Village Green and quickly had to pivot to a digital format, creating the first Digital Abbe Museum Indian Market (AMIM). With this format, we created a digital platform for artist engagement that included online profiles for collectors to connect with artisans, a 6 hours live event with performances, discussions, and storytelling, a virtual competition, and a film screening. This year's Digital AMIM expanded on the format maintaining all of the elements of the original event while also adding a new evening Preview Party with performances from Wabanaki artists Firefly (Penobscot) and Jennifer Pictou (Mi'kmaq).",0,"The summary focuses on the operation of a museum dedicated to Native American heritage and culture, without any mention of religious or faith-based concepts."
"Higher Education: Bates College offers a rigorous liberal arts education that is distinctive in its emphasis on student research, a signature thesis or capstone experience, immersive Short Term experience, Purposeful Work program, and opportunities for community-engaged learning. A 10-1 student-faculty ratio makes possible close collaborations in classroom and laboratory. A Bates education aims to prepare graduates who strive to embody the following qualities, capabilities, and inclinations: Knowledge, Problem Solving, Analytic Strength; Discernment and Persuasion; Intellectual Curiosity; and Social Commitment and Integrity. Co-curricular life is rich with most students participating in one of approximately 120 student-run clubs and organizations. Typically, two-thirds of Bates' approximately 1,821 students on campus study abroad at some point during their academic careers at Bates and close to 80 percent of students participate in internships. More than two-thirds of recent graduates enroll in graduate study within 10 years after graduation.",0,The summary focuses on educational activities and student engagement without any mention of religious or faith-based concepts.
